Headline,Article Link
Man acquitted by High Court of molesting woman he invited to his flat,https://www.straitstimes.com/singapore/courts-crime/man-acquitted-by-high-court-of-molesting-woman-he-invited-to-his-flat
Wet and humid weather expected in S'pore during first 2 weeks of September,https://www.straitstimes.com/singapore/first-fortnight-of-september-to-be-wet-and-humid-weatherman
All Shaw cinemas being inspected following Nex falling ventilation duct incident,https://www.straitstimes.com/singapore/courts-crime/all-shaw-cinemas-being-inspected-following-incident-at-nex-shopping-centre
Ex-public servant in education-related government body testifies in molestation trial,https://www.straitstimes.com/singapore/courts-crime/ex-public-servant-in-education-related-government-body-testifies-in
RSAF to have fewer flights during PSLE and other national exams to reduce noise in estates,https://www.straitstimes.com/singapore/rsaf-to-have-fewer-flights-during-national-examinations-to-address-noise-concerns
Evening Update: Today's headlines from The Straits Times on Sept 1,https://www.straitstimes.com/singapore/evening-update-todays-headlines-from-the-straits-times-on-sept-1
"S'porean youth who threw mug at maid, breaking her nose, gets reformative training",https://www.straitstimes.com/singapore/courts-crime/reformative-training-for-youth-who-threw-mug-at-maid-breaking-her-nose
"$20 million fund for construction companies to offset costs of thermal scanners, AI cameras",https://www.straitstimes.com/singapore/20-million-fund-for-construction-companies-to-offset-costs-of-thermal-scanners-ai-cameras
"Singtel launches 5G trial services in S'pore, second telco after StarHub to do so",https://www.straitstimes.com/singapore/singtel-launches-5g-trial-services-in-singapore-second-telco-after-starhub-to-do-so
"Financial services platform GoBear lays off 22 staff, including 6 in Singapore",https://www.straitstimes.com/singapore/manpower/financial-services-platform-gobear-lays-off-22-staff-including-6-in-singapore
"5 highlights of Tuesday's sitting, including Jamus Lim crossing swords with Josephine Teo, Jessica Tan",https://www.straitstimes.com/politics/parliament-5-highlights-of-tuesdays-sitting-including-jamus-lim-crossing-swords-with
S'poreans in senior roles in financial services grew more than 50% from 2014 to 2019: Ong Ye Kung,https://www.straitstimes.com/politics/parliament-singaporeans-in-senior-roles-in-financial-services-grew-more-than-50-from-2014
NCMP Leong Mun Wai calls for a cap on foreigner-to-citizen ratio in firms,https://www.straitstimes.com/politics/parliament-non-constituency-mp-leong-mun-wai-calls-for-a-cap-on-foreigner-to-citizen-ratio
"EP quota not unthinkable, but probably unwise: Josephine Teo",https://www.straitstimes.com/politics/parliament-employment-pass-quota-not-unthinkable-but-probably-unwise-says-josephine-teo
New Progressive Wage Model Mark will encourage more firms to adopt 'minimum wage plus',https://www.straitstimes.com/politics/parliament-new-progressive-wage-model-mark-to-be-introduced-to-encourage-wider-adoption-of
Jackie Chan's luxury Beijing condos up for auction in ownership row,https://www.straitstimes.com/asia/east-asia/jackie-chans-luxury-beijing-condos-up-for-auction-in-ownership-row
India says troops hold Himalayan hilltops after face-off with Chinese forces,https://www.straitstimes.com/asia/south-asia/india-says-troops-hold-himalayan-hilltops-after-face-off-with-chinese-forces
Australian state of Victoria faces massive class action over costly Covid-19 lockdown,https://www.straitstimes.com/asia/australianz/australian-state-of-victoria-faces-massive-class-action-over-costly-covid-19
Myanmar blocks activist website for fake news,https://www.straitstimes.com/asia/se-asia/myanmar-blocks-activist-website-for-fake-news
"Asian Insider, Sept 1: America initiates new economic dialogue with Taiwan, Mongolians protest switch to Mandarin schooling, a new supply chain pact in the Indo-Pacific",https://www.straitstimes.com/asia/asian-insider-sept-1-america-initiates-new-economic-dialogue-with-taiwan-mongolians-protest
Hong Kong activist Agnes Chow warns dissent being silenced,https://www.straitstimes.com/asia/east-asia/hong-kong-activist-agnes-chow-warns-dissent-being-silenced
"Coronavirus cases to peak in September in Indonesia, says President Joko Widodo",https://www.straitstimes.com/asia/se-asia/coronavirus-cases-to-peak-this-month-in-indonesia-says-president-joko-widodo
"LDP election a three-horse race, with Suga the runaway favourite",https://www.straitstimes.com/asia/east-asia/ldp-election-a-three-horse-race-with-suga-the-runaway-favourite
